id_registro_meteo,aeroporto,data_hora,temperatura_c,pressao_hpa,visibilidade_m,vento_kmh,rajada_kmh,precipitacao_mm,cobertura_nuvens_pct,condicao_meteorologica
MET2024-0201,SBGL,2024-07-02 00:00,18.3,1013.7,9774,21,34,1.5,49,Chuva
MET2024-0202,SBGL,2024-07-02 03:00,17.4,1014.2,9774,21,42,1.5,57,Chuva
MET2024-0203,SBGL,2024-07-02 06:00,16.4,1014.7,9774,21,36,1.5,48,Chuva
MET2024-0204,SBGL,2024-07-02 09:00,17.4,1014.2,9774,21,38,1.5,45,Chuva
MET2024-0205,SBGL,2024-07-02 12:00,18.3,1013.7,9774,21,36,1.5,42,Chuva
MET2024-0201,SBBR,2024-07-02 00:00,19.5,1009.2,10023,12,35,0.5,31,Ceu aberto
MET2024-0202,SBBR,2024-07-02 03:00,18.5,1009.7,10023,12,23,0.5,34,Ceu aberto
MET2024-0203,SBBR,2024-07-02 06:00,17.6,1010.1,10023,12,24,0.5,30,Ceu aberto
MET2024-0204,SBBR,2024-07-02 09:00,18.5,1009.7,10023,12,36,0.5,33,Ceu aberto
MET2024-0205,SBBR,2024-07-02 12:00,19.5,1009.2,10023,12,32,0.5,26,Ceu aberto
MET2024-0201,SBCF,2024-07-02 00:00,16.7,1012.4,7946,15,27,2.5,53,Chuva
MET2024-0202,SBCF,2024-07-02 03:00,15.7,1012.9,7946,15,27,2.5,45,Chuva
MET2024-0203,SBCF,2024-07-02 06:00,14.8,1013.3,7946,15,26,2.5,62,Chuva
MET2024-0204,SBCF,2024-07-02 09:00,15.7,1012.9,7946,15,27,2.5,70,Chuva
MET2024-0205,SBCF,2024-07-02 12:00,16.7,1012.4,7946,15,33,2.5,44,Chuva
MET2024-0201,SBPA,2024-07-02 00:00,15.1,1019.9,4281,28,51,4.2,76,Chuva
MET2024-0202,SBPA,2024-07-02 03:00,14.1,1020.4,4281,28,47,4.2,87,Chuva
MET2024-0203,SBPA,2024-07-02 06:00,13.2,1020.8,4281,28,48,4.2,73,Chuva
MET2024-0204,SBPA,2024-07-02 09:00,14.1,1020.4,4281,28,53,4.2,89,Chuva
MET2024-0205,SBPA,2024-07-02 12:00,15.1,1019.9,4281,28,40,4.2,76,Chuva
MET2024-0201,SBCT,2024-07-02 00:00,12.6,1016.5,7839,18,33,2.7,41,Chuva
MET2024-0202,SBCT,2024-07-02 03:00,11.6,1017.0,7839,18,39,2.7,62,Chuva
MET2024-0203,SBCT,2024-07-02 06:00,10.7,1017.4,7839,18,39,2.7,59,Chuva
MET2024-0204,SBCT,2024-07-02 09:00,11.6,1017.0,7839,18,32,2.7,59,Chuva
MET2024-0205,SBCT,2024-07-02 12:00,12.6,1016.5,7839,18,42,2.7,58,Chuva
MET2024-0201,SBRF,2024-07-02 00:00,26.8,1014.1,12617,13,33,0.3,21,Ceu aberto
MET2024-0202,SBRF,2024-07-02 03:00,25.9,1014.6,12617,13,25,0.3,19,Ceu aberto
MET2024-0203,SBRF,2024-07-02 06:00,24.9,1015.1,12617,13,33,0.3,31,Ceu aberto
MET2024-0204,SBRF,2024-07-02 09:00,25.9,1014.6,12617,13,29,0.3,15,Ceu aberto
MET2024-0205,SBRF,2024-07-02 12:00,26.8,1014.1,12617,13,23,0.3,26,Ceu aberto
MET2024-0201,SBFL,2024-07-02 00:00,14.9,1017.9,6043,20,44,3.5,72,Chuva
MET2024-0202,SBFL,2024-07-02 03:00,13.9,1018.4,6043,20,37,3.5,68,Chuva
MET2024-0203,SBFL,2024-07-02 06:00,13.0,1018.8,6043,20,45,3.5,75,Chuva
MET2024-0204,SBFL,2024-07-02 09:00,13.9,1018.4,6043,20,44,3.5,66,Chuva
MET2024-0205,SBFL,2024-07-02 12:00,14.9,1017.9,6043,20,31,3.5,63,Chuva
MET2024-0201,SBSV,2024-07-02 00:00,24.0,1011.2,9955,15,27,0.4,43,Ceu aberto
MET2024-0202,SBSV,2024-07-02 03:00,23.1,1011.7,9955,15,39,0.4,19,Ceu aberto
MET2024-0203,SBSV,2024-07-02 06:00,22.1,1012.2,9955,15,26,0.4,33,Ceu aberto
MET2024-0204,SBSV,2024-07-02 09:00,23.1,1011.7,9955,15,25,0.4,27,Ceu aberto
MET2024-0205,SBSV,2024-07-02 12:00,24.0,1011.2,9955,15,39,0.4,15,Ceu aberto
MET2024-0201,SBCG,2024-07-02 00:00,21.8,1012.6,12434,13,29,1.1,41,Chuva
MET2024-0202,SBCG,2024-07-02 03:00,20.9,1013.0,12434,13,33,1.1,33,Chuva
MET2024-0203,SBCG,2024-07-02 06:00,19.9,1013.5,12434,13,31,1.1,29,Chuva
MET2024-0204,SBCG,2024-07-02 09:00,20.9,1013.0,12434,13,38,1.1,49,Chuva
MET2024-0205,SBCG,2024-07-02 12:00,21.8,1012.6,12434,13,30,1.1,34,Chuva
MET2024-0301,SBGR,2024-07-03 00:00,17.5,1019.2,7072,21,37,3.4,83,Chuva
MET2024-0302,SBGR,2024-07-03 03:00,16.5,1019.7,7072,21,33,3.4,67,Chuva
MET2024-0303,SBGR,2024-07-03 06:00,15.6,1020.1,7072,21,34,3.4,75,Chuva
MET2024-0304,SBGR,2024-07-03 09:00,16.5,1019.7,7072,21,42,3.4,71,Chuva
MET2024-0305,SBGR,2024-07-03 12:00,17.5,1019.2,7072,21,34,3.4,50,Chuva
MET2024-0301,SBGL,2024-07-03 00:00,18.3,1018.0,9053,18,36,1.7,68,Chuva
MET2024-0302,SBGL,2024-07-03 03:00,17.4,1018.4,9053,18,28,1.7,62,Chuva
MET2024-0303,SBGL,2024-07-03 06:00,16.4,1018.9,9053,18,35,1.7,40,Chuva
MET2024-0304,SBGL,2024-07-03 09:00,17.4,1018.4,9053,18,39,1.7,52,Chuva
MET2024-0305,SBGL,2024-07-03 12:00,18.3,1018.0,9053,18,37,1.7,40,Chuva
MET2024-0301,SBBR,2024-07-03 00:00,19.6,1011.0,13096,11,34,0.0,14,Ceu aberto
MET2024-0302,SBBR,2024-07-03 03:00,18.6,1011.5,13096,11,31,0.0,13,Ceu aberto
MET2024-0303,SBBR,2024-07-03 06:00,17.7,1012.0,13096,11,24,0.0,-9,Ceu aberto
MET2024-0304,SBBR,2024-07-03 09:00,18.6,1011.5,13096,11,30,0.0,0,Ceu aberto
MET2024-0305,SBBR,2024-07-03 12:00,19.6,1011.0,13096,11,29,0.0,-8,Ceu aberto
MET2024-0301,SBCF,2024-07-03 00:00,20.4,1011.1,8788,22,36,1.8,33,Chuva
MET2024-0302,SBCF,2024-07-03 03:00,19.5,1011.6,8788,22,46,1.8,51,Chuva
MET2024-0303,SBCF,2024-07-03 06:00,18.5,1012.1,8788,22,40,1.8,46,Chuva
MET2024-0304,SBCF,2024-07-03 09:00,19.5,1011.6,8788,22,42,1.8,36,Chuva
MET2024-0305,SBCF,2024-07-03 12:00,20.4,1011.1,8788,22,38,1.8,48,Chuva
MET2024-0301,SBPA,2024-07-03 00:00,13.5,1014.9,7108,25,41,4.2,78,Chuva
MET2024-0302,SBPA,2024-07-03 03:00,12.5,1015.3,7108,25,49,4.2,76,Chuva
MET2024-0303,SBPA,2024-07-03 06:00,11.6,1015.8,7108,25,43,4.2,99,Chuva
MET2024-0304,SBPA,2024-07-03 09:00,12.5,1015.3,7108,25,36,4.2,89,Chuva
MET2024-0305,SBPA,2024-07-03 12:00,13.5,1014.9,7108,25,37,4.2,66,Chuva
MET2024-0301,SBCT,2024-07-03 00:00,10.3,1019.6,5932,27,51,4.4,100,Chuva
MET2024-0302,SBCT,2024-07-03 03:00,9.3,1020.0,5932,27,39,4.4,73,Chuva
MET2024-0303,SBCT,2024-07-03 06:00,8.4,1020.5,5932,27,52,4.4,77,Chuva
MET2024-0304,SBCT,2024-07-03 09:00,9.3,1020.0,5932,27,43,4.4,94,Chuva
MET2024-0305,SBCT,2024-07-03 12:00,10.3,1019.6,5932,27,41,4.4,96,Chuva
MET2024-0301,SBRF,2024-07-03 00:00,23.1,1010.6,10280,15,30,0.3,27,Ceu aberto
MET2024-0302,SBRF,2024-07-03 03:00,22.2,1011.1,10280,15,25,0.3,34,Ceu aberto
MET2024-0303,SBRF,2024-07-03 06:00,21.2,1011.5,10280,15,27,0.3,30,Ceu aberto
MET2024-0304,SBRF,2024-07-03 09:00,22.2,1011.1,10280,15,27,0.3,30,Ceu aberto
MET2024-0305,SBRF,2024-07-03 12:00,23.1,1010.6,10280,15,25,0.3,37,Ceu aberto
MET2024-0301,SBFL,2024-07-03 00:00,12.7,1020.5,8064,20,45,3.4,83,Chuva
MET2024-0302,SBFL,2024-07-03 03:00,11.8,1021.0,8064,20,37,3.4,70,Chuva
MET2024-0303,SBFL,2024-07-03 06:00,10.8,1021.5,8064,20,44,3.4,86,Chuva
MET2024-0304,SBFL,2024-07-03 09:00,11.8,1021.0,8064,20,44,3.4,75,Chuva
MET2024-0305,SBFL,2024-07-03 12:00,12.7,1020.5,8064,20,33,3.4,76,Chuva
MET2024-0301,SBSV,2024-07-03 00:00,23.1,1014.5,9303,19,39,2.2,65,Chuva
MET2024-0302,SBSV,2024-07-03 03:00,22.1,1015.0,9303,19,29,2.2,60,Chuva
MET2024-0303,SBSV,2024-07-03 06:00,21.2,1015.5,9303,19,39,2.2,54,Chuva
MET2024-0304,SBSV,2024-07-03 09:00,22.1,1015.0,9303,19,41,2.2,53,Chuva
MET2024-0305,SBSV,2024-07-03 12:00,23.1,1014.5,9303,19,36,2.2,50,Chuva
MET2024-0301,SBCG,2024-07-03 00:00,18.4,1014.3,10335,21,34,1.5,58,Chuva
MET2024-0302,SBCG,2024-07-03 03:00,17.5,1014.7,10335,21,41,1.5,43,Chuva
MET2024-0303,SBCG,2024-07-03 06:00,16.6,1015.2,10335,21,41,1.5,41,Chuva
MET2024-0304,SBCG,2024-07-03 09:00,17.5,1014.7,10335,21,34,1.5,42,Chuva
MET2024-0305,SBCG,2024-07-03 12:00,18.4,1014.3,10335,21,33,1.5,48,Chuva
MET2024-0401,SBGR,2024-07-04 00:00,14.5,1018.8,8338,18,35,2.7,65,Chuva
MET2024-0402,SBGR,2024-07-04 03:00,13.6,1019.3,8338,18,40,2.7,62,Chuva
MET2024-0403,SBGR,2024-07-04 06:00,12.7,1019.8,8338,18,37,2.7,50,Chuva
MET2024-0404,SBGR,2024-07-04 09:00,13.6,1019.3,8338,18,30,2.7,71,Chuva
MET2024-0405,SBGR,2024-07-04 12:00,14.5,1018.8,8338,18,41,2.7,58,Chuva
MET2024-0401,SBGL,2024-07-04 00:00,19.3,1013.2,9329,17,32,2.6,50,Chuva
MET2024-0402,SBGL,2024-07-04 03:00,18.4,1013.7,9329,17,39,2.6,65,Chuva
MET2024-0403,SBGL,2024-07-04 06:00,17.5,1014.2,9329,17,30,2.6,46,Chuva
MET2024-0404,SBGL,2024-07-04 09:00,18.4,1013.7,9329,17,37,2.6,61,Chuva
MET2024-0405,SBGL,2024-07-04 12:00,19.3,1013.2,9329,17,29,2.6,68,Chuva
MET2024-0401,SBBR,2024-07-04 00:00,18.5,1013.0,12478,13,35,0.7,20,Chuva
MET2024-0402,SBBR,2024-07-04 03:00,17.6,1013.5,12478,13,37,0.7,36,Chuva
MET2024-0403,SBBR,2024-07-04 06:00,16.6,1013.9,12478,13,31,0.7,30,Chuva
MET2024-0404,SBBR,2024-07-04 09:00,17.6,1013.5,12478,13,29,0.7,30,Chuva
MET2024-0405,SBBR,2024-07-04 12:00,18.5,1013.0,12478,13,30,0.7,42,Chuva
MET2024-0401,SBCF,2024-07-04 00:00,19.3,1012.7,8566,18,37,2.0,28,Chuva
MET2024-0402,SBCF,2024-07-04 03:00,18.4,1013.2,8566,18,32,2.0,49,Chuva
MET2024-0403,SBCF,2024-07-04 06:00,17.5,1013.7,8566,18,33,2.0,64,Chuva
MET2024-0404,SBCF,2024-07-04 09:00,18.4,1013.2,8566,18,30,2.0,41,Chuva
MET2024-0405,SBCF,2024-07-04 12:00,19.3,1012.7,8566,18,35,2.0,44,Chuva
MET2024-0401,SBPA,2024-07-04 00:00,13.6,1011.3,2932,30,45,5.0,94,Chuva intensa
MET2024-0402,SBPA,2024-07-04 03:00,12.7,1011.8,2932,30,44,5.0,92,Chuva intensa
MET2024-0403,SBPA,2024-07-04 06:00,11.8,1012.3,2932,30,51,5.0,79,Chuva intensa
MET2024-0404,SBPA,2024-07-04 09:00,12.7,1011.8,2932,30,43,5.0,100,Chuva intensa
MET2024-0405,SBPA,2024-07-04 12:00,13.6,1011.3,2932,30,45,5.0,91,Chuva intensa
MET2024-0401,SBCT,2024-07-04 00:00,9.9,1018.5,5011,26,46,3.9,87,Chuva
MET2024-0402,SBCT,2024-07-04 03:00,9.0,1018.9,5011,26,40,3.9,78,Chuva
MET2024-0403,SBCT,2024-07-04 06:00,8.0,1019.4,5011,26,37,3.9,65,Chuva
MET2024-0404,SBCT,2024-07-04 09:00,9.0,1018.9,5011,26,39,3.9,85,Chuva
MET2024-0405,SBCT,2024-07-04 12:00,9.9,1018.5,5011,26,44,3.9,76,Chuva
MET2024-0401,SBRF,2024-07-04 00:00,25.3,1009.2,12306,13,31,0.7,36,Chuva
MET2024-0402,SBRF,2024-07-04 03:00,24.4,1009.6,12306,13,28,0.7,25,Chuva
MET2024-0403,SBRF,2024-07-04 06:00,23.5,1010.1,12306,13,29,0.7,22,Chuva
MET2024-0404,SBRF,2024-07-04 09:00,24.4,1009.6,12306,13,35,0.7,22,Chuva
MET2024-0405,SBRF,2024-07-04 12:00,25.3,1009.2,12306,13,24,0.7,31,Chuva
MET2024-0401,SBFL,2024-07-04 00:00,14.4,1014.1,6697,25,40,3.7,90,Chuva
MET2024-0402,SBFL,2024-07-04 03:00,13.5,1014.6,6697,25,36,3.7,79,Chuva
MET2024-0403,SBFL,2024-07-04 06:00,12.6,1015.1,6697,25,37,3.7,79,Chuva
MET2024-0404,SBFL,2024-07-04 09:00,13.5,1014.6,6697,25,42,3.7,99,Chuva
MET2024-0405,SBFL,2024-07-04 12:00,14.4,1014.1,6697,25,49,3.7,73,Chuva
MET2024-0401,SBSV,2024-07-04 00:00,23.9,1020.1,10946,20,32,1.2,35,Chuva
MET2024-0402,SBSV,2024-07-04 03:00,23.0,1020.6,10946,20,34,1.2,30,Chuva
MET2024-0403,SBSV,2024-07-04 06:00,22.0,1021.0,10946,20,33,1.2,23,Chuva
MET2024-0404,SBSV,2024-07-04 09:00,23.0,1020.6,10946,20,37,1.2,39,Chuva
MET2024-0405,SBSV,2024-07-04 12:00,23.9,1020.1,10946,20,30,1.2,36,Chuva
MET2024-0401,SBCG,2024-07-04 00:00,18.5,1014.7,9198,22,35,2.9,75,Chuva
MET2024-0402,SBCG,2024-07-04 03:00,17.6,1015.1,9198,22,35,2.9,72,Chuva
MET2024-0403,SBCG,2024-07-04 06:00,16.7,1015.6,9198,22,35,2.9,47,Chuva
MET2024-0404,SBCG,2024-07-04 09:00,17.6,1015.1,9198,22,34,2.9,69,Chuva
MET2024-0405,SBCG,2024-07-04 12:00,18.5,1014.7,9198,22,37,2.9,70,Chuva
MET2024-0501,SBGR,2024-07-05 00:00,17.9,1019.2,6615,19,32,3.2,62,Chuva
MET2024-0502,SBGR,2024-07-05 03:00,17.0,1019.6,6615,19,30,3.2,59,Chuva
MET2024-0503,SBGR,2024-07-05 06:00,16.1,1020.1,6615,19,43,3.2,83,Chuva
MET2024-0504,SBGR,2024-07-05 09:00,17.0,1019.6,6615,19,39,3.2,59,Chuva
MET2024-0505,SBGR,2024-07-05 12:00,17.9,1019.2,6615,19,35,3.2,55,Chuva
MET2024-0501,SBGL,2024-07-05 00:00,18.2,1012.9,8211,17,39,3.2,60,Chuva
MET2024-0502,SBGL,2024-07-05 03:00,17.3,1013.4,8211,17,29,3.2,53,Chuva
MET2024-0503,SBGL,2024-07-05 06:00,16.4,1013.8,8211,17,29,3.2,53,Chuva
MET2024-0504,SBGL,2024-07-05 09:00,17.3,1013.4,8211,17,39,3.2,58,Chuva
MET2024-0505,SBGL,2024-07-05 12:00,18.2,1012.9,8211,17,32,3.2,73,Chuva
MET2024-0501,SBBR,2024-07-05 00:00,20.4,1010.3,10581,16,34,1.1,38,Chuva
MET2024-0502,SBBR,2024-07-05 03:00,19.5,1010.8,10581,16,28,1.1,47,Chuva
MET2024-0503,SBBR,2024-07-05 06:00,18.6,1011.2,10581,16,35,1.1,33,Chuva
MET2024-0504,SBBR,2024-07-05 09:00,19.5,1010.8,10581,16,35,1.1,53,Chuva
MET2024-0505,SBBR,2024-07-05 12:00,20.4,1010.3,10581,16,37,1.1,39,Chuva
MET2024-0501,SBCF,2024-07-05 00:00,15.6,1015.8,9473,17,30,2.1,42,Chuva
MET2024-0502,SBCF,2024-07-05 03:00,14.7,1016.3,9473,17,32,2.1,50,Chuva
MET2024-0503,SBCF,2024-07-05 06:00,13.8,1016.7,9473,17,36,2.1,49,Chuva
MET2024-0504,SBCF,2024-07-05 09:00,14.7,1016.3,9473,17,37,2.1,61,Chuva
MET2024-0505,SBCF,2024-07-05 12:00,15.6,1015.8,9473,17,31,2.1,56,Chuva
MET2024-0501,SBPA,2024-07-05 00:00,12.7,1021.3,4000,24,35,5.3,97,Chuva intensa
MET2024-0502,SBPA,2024-07-05 03:00,11.8,1021.8,4000,24,42,5.3,100,Chuva intensa
MET2024-0503,SBPA,2024-07-05 06:00,10.9,1022.2,4000,24,38,5.3,100,Chuva intensa
MET2024-0504,SBPA,2024-07-05 09:00,11.8,1021.8,4000,24,39,5.3,95,Chuva intensa
MET2024-0505,SBPA,2024-07-05 12:00,12.7,1021.3,4000,24,46,5.3,100,Chuva intensa
MET2024-0501,SBCT,2024-07-05 00:00,14.1,1016.5,3740,28,45,4.8,94,Chuva
MET2024-0502,SBCT,2024-07-05 03:00,13.2,1017.0,3740,28,53,4.8,80,Chuva
MET2024-0503,SBCT,2024-07-05 06:00,12.3,1017.4,3740,28,44,4.8,90,Chuva
MET2024-0504,SBCT,2024-07-05 09:00,13.2,1017.0,3740,28,52,4.8,100,Chuva
MET2024-0505,SBCT,2024-07-05 12:00,14.1,1016.5,3740,28,51,4.8,88,Chuva
MET2024-0501,SBRF,2024-07-05 00:00,22.7,1013.0,10836,19,37,0.3,38,Ceu aberto
MET2024-0502,SBRF,2024-07-05 03:00,21.8,1013.4,10836,19,41,0.3,14,Ceu aberto
MET2024-0503,SBRF,2024-07-05 06:00,20.9,1013.9,10836,19,35,0.3,3,Ceu aberto
MET2024-0504,SBRF,2024-07-05 09:00,21.8,1013.4,10836,19,35,0.3,37,Ceu aberto
MET2024-0505,SBRF,2024-07-05 12:00,22.7,1013.0,10836,19,35,0.3,25,Ceu aberto
MET2024-0501,SBFL,2024-07-05 00:00,17.6,1016.1,5325,21,39,4.1,83,Chuva
MET2024-0502,SBFL,2024-07-05 03:00,16.7,1016.5,5325,21,40,4.1,81,Chuva
MET2024-0503,SBFL,2024-07-05 06:00,15.8,1017.0,5325,21,38,4.1,77,Chuva
MET2024-0504,SBFL,2024-07-05 09:00,16.7,1016.5,5325,21,39,4.1,74,Chuva
MET2024-0505,SBFL,2024-07-05 12:00,17.6,1016.1,5325,21,34,4.1,78,Chuva
MET2024-0501,SBSV,2024-07-05 00:00,21.7,1015.9,9146,17,31,1.5,73,Chuva
MET2024-0502,SBSV,2024-07-05 03:00,20.8,1016.3,9146,17,39,1.5,38,Chuva
MET2024-0503,SBSV,2024-07-05 06:00,19.9,1016.8,9146,17,34,1.5,37,Chuva
MET2024-0504,SBSV,2024-07-05 09:00,20.8,1016.3,9146,17,32,1.5,49,Chuva
MET2024-0505,SBSV,2024-07-05 12:00,21.7,1015.9,9146,17,37,1.5,29,Chuva
MET2024-0501,SBCG,2024-07-05 00:00,18.6,1017.9,9936,15,36,1.7,48,Chuva
MET2024-0502,SBCG,2024-07-05 03:00,17.7,1018.3,9936,15,25,1.7,40,Chuva
MET2024-0503,SBCG,2024-07-05 06:00,16.8,1018.8,9936,15,34,1.7,46,Chuva
MET2024-0504,SBCG,2024-07-05 09:00,17.7,1018.3,9936,15,39,1.7,46,Chuva
MET2024-0505,SBCG,2024-07-05 12:00,18.6,1017.9,9936,15,32,1.7,51,Chuva
MET2024-0601,SBGR,2024-07-06 00:00,16.5,1016.9,7666,15,32,2.8,46,Chuva
MET2024-0602,SBGR,2024-07-06 03:00,15.6,1017.4,7666,15,34,2.8,52,Chuva
MET2024-0603,SBGR,2024-07-06 06:00,14.7,1017.9,7666,15,33,2.8,58,Chuva
MET2024-0604,SBGR,2024-07-06 09:00,15.6,1017.4,7666,15,37,2.8,50,Chuva
MET2024-0605,SBGR,2024-07-06 12:00,16.5,1016.9,7666,15,39,2.8,75,Chuva
MET2024-0601,SBGL,2024-07-06 00:00,18.4,1017.5,8518,19,38,2.5,41,Chuva
MET2024-0602,SBGL,2024-07-06 03:00,17.5,1017.9,8518,19,37,2.5,48,Chuva
MET2024-0603,SBGL,2024-07-06 06:00,16.6,1018.4,8518,19,37,2.5,67,Chuva
MET2024-0604,SBGL,2024-07-06 09:00,17.5,1017.9,8518,19,30,2.5,72,Chuva
MET2024-0605,SBGL,2024-07-06 12:00,18.4,1017.5,8518,19,39,2.5,52,Chuva
MET2024-0601,SBBR,2024-07-06 00:00,16.8,1014.6,12242,11,24,1.1,39,Chuva
MET2024-0602,SBBR,2024-07-06 03:00,15.9,1015.0,12242,11,34,1.1,24,Chuva
MET2024-0603,SBBR,2024-07-06 06:00,15.0,1015.5,12242,11,29,1.1,25,Chuva
MET2024-0604,SBBR,2024-07-06 09:00,15.9,1015.0,12242,11,35,1.1,35,Chuva
MET2024-0605,SBBR,2024-07-06 12:00,16.8,1014.6,12242,11,34,1.1,32,Chuva
MET2024-0601,SBCF,2024-07-06 00:00,15.3,1013.6,6778,11,29,2.3,56,Chuva
MET2024-0602,SBCF,2024-07-06 03:00,14.4,1014.0,6778,11,36,2.3,47,Chuva
MET2024-0603,SBCF,2024-07-06 06:00,13.4,1014.5,6778,11,25,2.3,53,Chuva
