id_voo,codigo_voo,data,horario_previsto,horario_realizado,aeroporto_origem,aeroporto_destino,id_rota,matricula_aeronave,atraso_minutos,status,motivo_atraso,cancelado,desviado
2025-002543,XYZ252543,2025-07-02,06:00,2025-07-02 06:46,SBGL,SBPA,ROT012,PR-YCF,46,Desviado,Meteorologia,0,1
2025-002544,XYZ252544,2025-07-02,06:00,2025-07-02 06:19,SBGL,SBCT,ROT013,PR-ZDG,19,Realizado,Meteorologia,0,0
2025-002545,XYZ252545,2025-07-02,09:00,2025-07-02 09:20,SBGR,SBGL,ROT001,PR-ADH,20,Realizado,Meteorologia,0,0
2025-002546,XYZ252546,2025-07-02,09:00,2025-07-02 09:10,SBGR,SBBR,ROT002,PR-BKR,10,Realizado,Meteorologia,0,0
2025-002547,XYZ252547,2025-07-02,09:00,2025-07-02 09:12,SBGR,SBCF,ROT003,PR-CEV,12,Realizado,Meteorologia,0,0
2025-002548,XYZ252548,2025-07-02,09:00,2025-07-02 09:35,SBGR,SBPA,ROT004,PR-DQF,35,Desviado,Meteorologia,0,1
2025-002549,XYZ252549,2025-07-02,09:00,2025-07-02 09:49,SBGL,SBBR,ROT010,PR-EHX,49,Realizado,Meteorologia,0,0
2025-002550,XYZ252550,2025-07-02,09:00,2025-07-02 09:48,SBGL,SBCF,ROT011,PR-FKA,48,Realizado,Meteorologia,0,0
2025-002551,XYZ252551,2025-07-02,09:00,2025-07-02 09:26,SBGL,SBPA,ROT012,PR-GMB,26,Realizado,Meteorologia,0,0
2025-002552,XYZ252552,2025-07-02,09:00,2025-07-02 09:25,SBGL,SBCT,ROT013,PR-HNC,25,Realizado,Meteorologia,0,0
2025-002553,XYZ252553,2025-07-02,12:00,2025-07-02 12:39,SBGR,SBGL,ROT001,PR-JRD,39,Realizado,Meteorologia,0,0
2025-002554,XYZ252554,2025-07-02,12:00,2025-07-02 12:44,SBGR,SBBR,ROT002,PR-KSE,44,Realizado,Meteorologia,0,0
2025-002555,XYZ252555,2025-07-02,12:00,2025-07-02 12:26,SBGR,SBCF,ROT003,PR-LTF,26,Realizado,Meteorologia,0,0
2025-002556,XYZ252556,2025-07-02,12:00,2025-07-02 12:23,SBGR,SBPA,ROT004,PR-MUG,23,Desviado,Meteorologia,0,1
2025-002557,XYZ252557,2025-07-02,12:00,2025-07-02 12:23,SBGL,SBBR,ROT010,PR-NVH,23,Realizado,Meteorologia,0,0
2025-002558,XYZ252558,2025-07-02,12:00,2025-07-02 12:43,SBGL,SBCF,ROT011,PR-PWL,43,Desviado,Meteorologia,0,1
2025-002559,XYZ252559,2025-07-02,12:00,2025-07-02 12:28,SBGL,SBPA,ROT012,PR-QXA,28,Realizado,Meteorologia,0,0
2025-002560,XYZ252560,2025-07-02,12:00,2025-07-02 12:27,SBGL,SBCT,ROT013,PR-RYB,27,Realizado,Meteorologia,0,0
2025-002561,XYZ252561,2025-07-03,00:00,2025-07-03 00:47,SBGR,SBGL,ROT001,PR-SCD,47,Realizado,Meteorologia,0,0
2025-002562,XYZ252562,2025-07-03,00:00,2025-07-03 00:44,SBGR,SBBR,ROT002,PR-TQJ,44,Realizado,Meteorologia,0,0
2025-002563,XYZ252563,2025-07-03,00:00,2025-07-03 00:44,SBGR,SBCF,ROT003,PR-UKM,44,Desviado,Meteorologia,0,1
2025-002564,XYZ252564,2025-07-03,00:00,2025-07-03 00:15,SBGR,SBPA,ROT004,PR-VPN,15,Realizado,Meteorologia,0,0
2025-002565,XYZ252565,2025-07-03,00:00,2025-07-03 00:43,SBGL,SBBR,ROT010,PR-WAR,43,Realizado,Meteorologia,0,0
2025-002566,XYZ252566,2025-07-03,00:00,,SBGL,SBCF,ROT011,PR-XBE,0,Cancelado,Meteorologia,1,0
2025-002567,XYZ252567,2025-07-03,00:00,2025-07-03 00:46,SBGL,SBPA,ROT012,PR-YCF,46,Realizado,Meteorologia,0,0
2025-002568,XYZ252568,2025-07-03,00:00,2025-07-03 00:29,SBGL,SBCT,ROT013,PR-ZDG,29,Realizado,Meteorologia,0,0
2025-002569,XYZ252569,2025-07-03,03:00,2025-07-03 03:37,SBGR,SBGL,ROT001,PR-ADH,37,Realizado,Meteorologia,0,0
2025-002570,XYZ252570,2025-07-03,03:00,2025-07-03 03:18,SBGR,SBBR,ROT002,PR-BKR,18,Realizado,Meteorologia,0,0
2025-002571,XYZ252571,2025-07-03,03:00,2025-07-03 03:26,SBGR,SBCF,ROT003,PR-CEV,26,Realizado,Meteorologia,0,0
2025-002572,XYZ252572,2025-07-03,03:00,2025-07-03 03:34,SBGR,SBPA,ROT004,PR-DQF,34,Realizado,Meteorologia,0,0
2025-002573,XYZ252573,2025-07-03,03:00,2025-07-03 03:35,SBGL,SBBR,ROT010,PR-EHX,35,Realizado,Meteorologia,0,0
2025-002574,XYZ252574,2025-07-03,03:00,2025-07-03 03:27,SBGL,SBCF,ROT011,PR-FKA,27,Realizado,Meteorologia,0,0
2025-002575,XYZ252575,2025-07-03,03:00,2025-07-03 03:37,SBGL,SBPA,ROT012,PR-GMB,37,Realizado,Meteorologia,0,0
2025-002576,XYZ252576,2025-07-03,03:00,2025-07-03 03:32,SBGL,SBCT,ROT013,PR-HNC,32,Realizado,Meteorologia,0,0
2025-002577,XYZ252577,2025-07-03,06:00,2025-07-03 06:47,SBGR,SBGL,ROT001,PR-JRD,47,Realizado,Meteorologia,0,0
2025-002578,XYZ252578,2025-07-03,06:00,2025-07-03 06:38,SBGR,SBBR,ROT002,PR-KSE,38,Realizado,Meteorologia,0,0
2025-002579,XYZ252579,2025-07-03,06:00,2025-07-03 06:15,SBGR,SBCF,ROT003,PR-LTF,15,Realizado,Meteorologia,0,0
2025-002580,XYZ252580,2025-07-03,06:00,2025-07-03 06:22,SBGR,SBPA,ROT004,PR-MUG,22,Realizado,Meteorologia,0,0
2025-002581,XYZ252581,2025-07-03,06:00,,SBGL,SBBR,ROT010,PR-NVH,0,Cancelado,Meteorologia,1,0
2025-002582,XYZ252582,2025-07-03,06:00,2025-07-03 06:22,SBGL,SBCF,ROT011,PR-PWL,22,Realizado,Meteorologia,0,0
2025-002583,XYZ252583,2025-07-03,06:00,2025-07-03 06:45,SBGL,SBPA,ROT012,PR-QXA,45,Realizado,Meteorologia,0,0
2025-002584,XYZ252584,2025-07-03,06:00,2025-07-03 06:46,SBGL,SBCT,ROT013,PR-RYB,46,Realizado,Meteorologia,0,0
2025-002585,XYZ252585,2025-07-03,09:00,,SBGR,SBGL,ROT001,PR-SCD,0,Cancelado,Meteorologia,1,0
2025-002586,XYZ252586,2025-07-03,09:00,,SBGR,SBBR,ROT002,PR-TQJ,0,Cancelado,Meteorologia,1,0
2025-002587,XYZ252587,2025-07-03,09:00,2025-07-03 09:20,SBGR,SBCF,ROT003,PR-UKM,20,Desviado,Meteorologia,0,1
2025-002588,XYZ252588,2025-07-03,09:00,2025-07-03 09:28,SBGR,SBPA,ROT004,PR-VPN,28,Realizado,Meteorologia,0,0
2025-002589,XYZ252589,2025-07-03,09:00,2025-07-03 09:36,SBGL,SBBR,ROT010,PR-WAR,36,Realizado,Meteorologia,0,0
2025-002590,XYZ252590,2025-07-03,09:00,,SBGL,SBCF,ROT011,PR-XBE,0,Cancelado,Meteorologia,1,0
2025-002591,XYZ252591,2025-07-03,09:00,2025-07-03 09:33,SBGL,SBPA,ROT012,PR-YCF,33,Realizado,Meteorologia,0,0
2025-002592,XYZ252592,2025-07-03,09:00,2025-07-03 09:35,SBGL,SBCT,ROT013,PR-ZDG,35,Realizado,Meteorologia,0,0
2025-002593,XYZ252593,2025-07-03,12:00,2025-07-03 12:21,SBGR,SBGL,ROT001,PR-ADH,21,Realizado,Meteorologia,0,0
2025-002594,XYZ252594,2025-07-03,12:00,2025-07-03 12:25,SBGR,SBBR,ROT002,PR-BKR,25,Realizado,Meteorologia,0,0
2025-002595,XYZ252595,2025-07-03,12:00,2025-07-03 12:49,SBGR,SBCF,ROT003,PR-CEV,49,Realizado,Meteorologia,0,0
2025-002596,XYZ252596,2025-07-03,12:00,2025-07-03 12:19,SBGR,SBPA,ROT004,PR-DQF,19,Realizado,Meteorologia,0,0
2025-002597,XYZ252597,2025-07-03,12:00,2025-07-03 12:28,SBGL,SBBR,ROT010,PR-EHX,28,Realizado,Meteorologia,0,0
2025-002598,XYZ252598,2025-07-03,12:00,2025-07-03 12:43,SBGL,SBCF,ROT011,PR-FKA,43,Realizado,Meteorologia,0,0
2025-002599,XYZ252599,2025-07-03,12:00,2025-07-03 12:22,SBGL,SBPA,ROT012,PR-GMB,22,Realizado,Meteorologia,0,0
2025-002600,XYZ252600,2025-07-03,12:00,2025-07-03 12:13,SBGL,SBCT,ROT013,PR-HNC,13,Realizado,Meteorologia,0,0
2025-002601,XYZ252601,2025-07-04,00:00,2025-07-04 00:22,SBGR,SBGL,ROT001,PR-JRD,22,Realizado,Meteorologia,0,0
2025-002602,XYZ252602,2025-07-04,00:00,2025-07-04 00:42,SBGR,SBBR,ROT002,PR-KSE,42,Realizado,Meteorologia,0,0
2025-002603,XYZ252603,2025-07-04,00:00,2025-07-04 00:51,SBGR,SBCF,ROT003,PR-LTF,51,Desviado,Meteorologia,0,1
2025-002604,XYZ252604,2025-07-04,00:00,2025-07-04 00:13,SBGR,SBPA,ROT004,PR-MUG,13,Realizado,Meteorologia,0,0
2025-002605,XYZ252605,2025-07-04,00:00,2025-07-04 00:26,SBGL,SBBR,ROT010,PR-NVH,26,Realizado,Meteorologia,0,0
2025-002606,XYZ252606,2025-07-04,00:00,2025-07-04 00:10,SBGL,SBCF,ROT011,PR-PWL,10,Realizado,Meteorologia,0,0
2025-002607,XYZ252607,2025-07-04,00:00,,SBGL,SBPA,ROT012,PR-QXA,0,Cancelado,Meteorologia,1,0
2025-002608,XYZ252608,2025-07-04,00:00,2025-07-04 00:48,SBGL,SBCT,ROT013,PR-RYB,48,Realizado,Meteorologia,0,0
2025-002609,XYZ252609,2025-07-04,03:00,2025-07-04 03:54,SBGR,SBGL,ROT001,PR-SCD,54,Desviado,Meteorologia,0,1
2025-002610,XYZ252610,2025-07-04,03:00,2025-07-04 03:39,SBGR,SBBR,ROT002,PR-TQJ,39,Realizado,Meteorologia,0,0
2025-002611,XYZ252611,2025-07-04,03:00,2025-07-04 03:48,SBGR,SBCF,ROT003,PR-UKM,48,Realizado,Meteorologia,0,0
2025-002612,XYZ252612,2025-07-04,03:00,2025-07-04 03:20,SBGR,SBPA,ROT004,PR-VPN,20,Realizado,Meteorologia,0,0
2025-002613,XYZ252613,2025-07-04,03:00,2025-07-04 03:25,SBGL,SBBR,ROT010,PR-WAR,25,Realizado,Meteorologia,0,0
2025-002614,XYZ252614,2025-07-04,03:00,2025-07-04 03:18,SBGL,SBCF,ROT011,PR-XBE,18,Realizado,Meteorologia,0,0
2025-002615,XYZ252615,2025-07-04,03:00,2025-07-04 03:48,SBGL,SBPA,ROT012,PR-YCF,48,Realizado,Meteorologia,0,0
2025-002616,XYZ252616,2025-07-04,03:00,2025-07-04 03:34,SBGL,SBCT,ROT013,PR-ZDG,34,Realizado,Meteorologia,0,0
2025-002617,XYZ252617,2025-07-04,06:00,2025-07-04 06:30,SBGR,SBGL,ROT001,PR-ADH,30,Realizado,Meteorologia,0,0
2025-002618,XYZ252618,2025-07-04,06:00,2025-07-04 06:44,SBGR,SBBR,ROT002,PR-BKR,44,Realizado,Meteorologia,0,0
2025-002619,XYZ252619,2025-07-04,06:00,2025-07-04 06:11,SBGR,SBCF,ROT003,PR-CEV,11,Realizado,Meteorologia,0,0
2025-002620,XYZ252620,2025-07-04,06:00,2025-07-04 06:49,SBGR,SBPA,ROT004,PR-DQF,49,Realizado,Meteorologia,0,0
2025-002621,XYZ252621,2025-07-04,06:00,2025-07-04 06:24,SBGL,SBBR,ROT010,PR-EHX,24,Realizado,Meteorologia,0,0
2025-002622,XYZ252622,2025-07-04,06:00,2025-07-04 06:31,SBGL,SBCF,ROT011,PR-FKA,31,Desviado,Meteorologia,0,1
2025-002623,XYZ252623,2025-07-04,06:00,2025-07-04 06:27,SBGL,SBPA,ROT012,PR-GMB,27,Realizado,Meteorologia,0,0
2025-002624,XYZ252624,2025-07-04,06:00,2025-07-04 06:32,SBGL,SBCT,ROT013,PR-HNC,32,Realizado,Meteorologia,0,0
2025-002625,XYZ252625,2025-07-04,09:00,2025-07-04 09:11,SBGR,SBGL,ROT001,PR-JRD,11,Realizado,Meteorologia,0,0
2025-002626,XYZ252626,2025-07-04,09:00,2025-07-04 09:31,SBGR,SBBR,ROT002,PR-KSE,31,Desviado,Meteorologia,0,1
2025-002627,XYZ252627,2025-07-04,09:00,2025-07-04 09:26,SBGR,SBCF,ROT003,PR-LTF,26,Realizado,Meteorologia,0,0
2025-002628,XYZ252628,2025-07-04,09:00,2025-07-04 09:12,SBGR,SBPA,ROT004,PR-MUG,12,Realizado,Meteorologia,0,0
2025-002629,XYZ252629,2025-07-04,09:00,2025-07-04 09:26,SBGL,SBBR,ROT010,PR-NVH,26,Realizado,Meteorologia,0,0
2025-002630,XYZ252630,2025-07-04,09:00,2025-07-04 09:13,SBGL,SBCF,ROT011,PR-PWL,13,Realizado,Meteorologia,0,0
2025-002631,XYZ252631,2025-07-04,09:00,2025-07-04 09:47,SBGL,SBPA,ROT012,PR-QXA,47,Realizado,Meteorologia,0,0
2025-002632,XYZ252632,2025-07-04,09:00,2025-07-04 09:27,SBGL,SBCT,ROT013,PR-RYB,27,Realizado,Meteorologia,0,0
2025-002633,XYZ252633,2025-07-04,12:00,2025-07-04 12:46,SBGR,SBGL,ROT001,PR-SCD,46,Realizado,Meteorologia,0,0
2025-002634,XYZ252634,2025-07-04,12:00,2025-07-04 12:45,SBGR,SBBR,ROT002,PR-TQJ,45,Realizado,Meteorologia,0,0
2025-002635,XYZ252635,2025-07-04,12:00,2025-07-04 12:47,SBGR,SBCF,ROT003,PR-UKM,47,Realizado,Meteorologia,0,0
2025-002636,XYZ252636,2025-07-04,12:00,2025-07-04 12:43,SBGR,SBPA,ROT004,PR-VPN,43,Realizado,Meteorologia,0,0
2025-002637,XYZ252637,2025-07-04,12:00,2025-07-04 12:21,SBGL,SBBR,ROT010,PR-WAR,21,Desviado,Meteorologia,0,1
2025-002638,XYZ252638,2025-07-04,12:00,2025-07-04 12:14,SBGL,SBCF,ROT011,PR-XBE,14,Realizado,Meteorologia,0,0
2025-002639,XYZ252639,2025-07-04,12:00,2025-07-04 12:14,SBGL,SBPA,ROT012,PR-YCF,14,Realizado,Meteorologia,0,0
2025-002640,XYZ252640,2025-07-04,12:00,2025-07-04 12:27,SBGL,SBCT,ROT013,PR-ZDG,27,Realizado,Meteorologia,0,0
2025-002641,XYZ252641,2025-07-05,00:00,2025-07-05 00:27,SBGR,SBGL,ROT001,PR-ADH,27,Realizado,Meteorologia,0,0
2025-002642,XYZ252642,2025-07-05,00:00,2025-07-05 00:18,SBGR,SBBR,ROT002,PR-BKR,18,Realizado,Meteorologia,0,0
2025-002643,XYZ252643,2025-07-05,00:00,2025-07-05 00:25,SBGR,SBCF,ROT003,PR-CEV,25,Realizado,Meteorologia,0,0
2025-002644,XYZ252644,2025-07-05,00:00,2025-07-05 00:40,SBGR,SBPA,ROT004,PR-DQF,40,Realizado,Meteorologia,0,0
2025-002645,XYZ252645,2025-07-05,00:00,,SBGL,SBBR,ROT010,PR-EHX,0,Cancelado,Meteorologia,1,0
2025-002646,XYZ252646,2025-07-05,00:00,2025-07-05 00:47,SBGL,SBCF,ROT011,PR-FKA,47,Realizado,Meteorologia,0,0
2025-002647,XYZ252647,2025-07-05,00:00,2025-07-05 00:44,SBGL,SBPA,ROT012,PR-GMB,44,Realizado,Meteorologia,0,0
2025-002648,XYZ252648,2025-07-05,00:00,2025-07-05 00:34,SBGL,SBCT,ROT013,PR-HNC,34,Realizado,Meteorologia,0,0
2025-002649,XYZ252649,2025-07-05,03:00,2025-07-05 03:17,SBGR,SBGL,ROT001,PR-JRD,17,Realizado,Meteorologia,0,0
2025-002650,XYZ252650,2025-07-05,03:00,2025-07-05 03:29,SBGR,SBBR,ROT002,PR-KSE,29,Realizado,Meteorologia,0,0
2025-002651,XYZ252651,2025-07-05,03:00,2025-07-05 03:43,SBGR,SBCF,ROT003,PR-LTF,43,Realizado,Meteorologia,0,0
2025-002652,XYZ252652,2025-07-05,03:00,2025-07-05 03:39,SBGR,SBPA,ROT004,PR-MUG,39,Realizado,Meteorologia,0,0
2025-002653,XYZ252653,2025-07-05,03:00,2025-07-05 03:21,SBGL,SBBR,ROT010,PR-NVH,21,Realizado,Meteorologia,0,0
2025-002654,XYZ252654,2025-07-05,03:00,2025-07-05 03:25,SBGL,SBCF,ROT011,PR-PWL,25,Realizado,Meteorologia,0,0
2025-002655,XYZ252655,2025-07-05,03:00,2025-07-05 03:39,SBGL,SBPA,ROT012,PR-QXA,39,Realizado,Meteorologia,0,0
2025-002656,XYZ252656,2025-07-05,03:00,2025-07-05 03:40,SBGL,SBCT,ROT013,PR-RYB,40,Realizado,Meteorologia,0,0
2025-002657,XYZ252657,2025-07-05,06:00,2025-07-05 06:47,SBGR,SBGL,ROT001,PR-SCD,47,Realizado,Meteorologia,0,0
2025-002658,XYZ252658,2025-07-05,06:00,2025-07-05 06:44,SBGR,SBBR,ROT002,PR-TQJ,44,Realizado,Meteorologia,0,0
2025-002659,XYZ252659,2025-07-05,06:00,2025-07-05 06:41,SBGR,SBCF,ROT003,PR-UKM,41,Realizado,Meteorologia,0,0
2025-002660,XYZ252660,2025-07-05,06:00,2025-07-05 06:44,SBGR,SBPA,ROT004,PR-VPN,44,Realizado,Meteorologia,0,0
2025-002661,XYZ252661,2025-07-05,06:00,2025-07-05 06:47,SBGL,SBBR,ROT010,PR-WAR,47,Realizado,Meteorologia,0,0
2025-002662,XYZ252662,2025-07-05,06:00,2025-07-05 06:10,SBGL,SBCF,ROT011,PR-XBE,10,Realizado,Meteorologia,0,0
2025-002663,XYZ252663,2025-07-05,06:00,2025-07-05 06:44,SBGL,SBPA,ROT012,PR-YCF,44,Desviado,Meteorologia,0,1
2025-002664,XYZ252664,2025-07-05,06:00,,SBGL,SBCT,ROT013,PR-ZDG,0,Cancelado,Meteorologia,1,0
2025-002665,XYZ252665,2025-07-05,09:00,2025-07-05 09:24,SBGR,SBGL,ROT001,PR-ADH,24,Realizado,Meteorologia,0,0
